log,TrainLoss,TrainLossRelative,TestLoss,TestLossRelative,TestLoss2,TestLoss2Relative,TestLoss3,TestLoss3Relative
biochemical_small_world_NDCN__mean_std,0.276+0.014,0.047+0.002,0.377+0.068,0.098+0.017,0.261+0.041,0.047+0.005,515.43+474.305,150.574+138.401
,,,,,,,,
BirthDeath_community_NDCN_D0.txt,0.266252,0.04737,0.509592,0.305679,0.274368,0.056291,1731.052612,109234664
BirthDeath_community_NDCN_D1.txt,0.276434,0.044218,0.376061,0.159752,0.281071,0.041929,374.786987,3780736.5
BirthDeath_community_NDCN_D2.txt,0.28954,0.048103,0.46748,0.201416,0.334636,0.045295,1064.803345,12134805
BirthDeath_community_NDCN_D3.txt,0.300991,0.049324,0.47679,0.19949,0.312901,0.053458,558.30426,4077660
BirthDeath_community_NDCN_D4.txt,0.230929,0.037816,0.276988,0.127051,0.270368,0.045339,132.227798,3167332
BirthDeath_community_NDCN_D5.txt,0.313383,0.05999,0.386818,0.195891,0.337928,0.057452,1076.046265,40267120
BirthDeath_community_NDCN_D6.txt,0.238471,0.043691,0.312993,0.154059,0.204977,0.040143,728.310303,17951962
BirthDeath_community_NDCN_D7.txt,0.311173,0.048214,0.460208,0.177542,0.329318,0.050954,782.319397,4063701.75
BirthDeath_community_NDCN_D8.txt,0.29341,0.042102,0.338059,0.134781,0.244426,0.042073,209.156631,1478068.5
BirthDeath_community_NDCN_D9.txt,0.251703,0.041157,0.35057,0.138131,0.238453,0.042521,437.947845,2894128.75
BirthDeath_community_NDCN__mean,0.2772286,0.0461985,0.3955559,0.1793792,0.2828446,0.0475455,709.4955443,19905017.85
BirthDeath_community_NDCN__std,0.02802838,0.005759429,0.074576932,0.049570871,0.043035246,0.006104649,458.4804325,31826261.89
BirthDeath_community_NDCN__mean,0.277,0.046,0.396,0.179,0.283,0.048,709.496,19905017.85
BirthDeath_community_NDCN__std,0.028,0.006,0.075,0.05,0.043,0.006,458.48,31826261.89
BirthDeath_community_NDCN__mean_std,0.277+0.028,0.046+0.006,0.396+0.075,0.179+0.05,0.283+0.043,0.048+0.006,709.496+458.48,19905017.85+31826261.891
,,,,,,,,
BirthDeath_grid_NDCN_D0.txt,0.134253,0.018176,0.210345,0.064005,0.165265,0.022355,130.745239,178648.7031
BirthDeath_grid_NDCN_D1.txt,0.139581,0.019104,0.18267,0.05336,0.120013,0.017151,170.366577,222464.4688
BirthDeath_grid_NDCN_D2.txt,0.144333,0.019665,0.238051,0.072581,0.164441,0.022106,122.308586,167895.8906
BirthDeath_grid_NDCN_D3.txt,0.253579,0.033408,0.237858,0.067153,0.221042,0.030538,434.901581,483849.9375
BirthDeath_grid_NDCN_D4.txt,0.153231,0.021001,0.186335,0.057539,0.153544,0.021505,1009.476074,1501634.25
BirthDeath_grid_NDCN_D5.txt,0.179706,0.024512,0.25613,0.076319,0.158065,0.022389,267.051849,388220.3438
BirthDeath_grid_NDCN_D6.txt,0.15878,0.022878,0.205457,0.059414,0.154841,0.021066,129.466187,175546.3438
BirthDeath_grid_NDCN_D7.txt,0.164607,0.021642,0.196242,0.059033,0.167685,0.026985,152.303772,202071.8906
